0	0
0.074	3.2
0.138	40.8
0.17	131.1
0.175	160.1
0.209	562
0.226	1010
0.231	1231
0.241	1364
0.246	1998
0.255	2590
0.259	2950
0.262	3230
0.264	3450


